"","names","mean","sd","isotype","isotype_mean","isotype_sd","X2.sample.z.score"
"CD36-TotalA","CD36-TotalA",0.018893108,0.082841727,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,2.000445128
"CD109-TotalA","CD109-TotalA",0.027315673,0.101912387,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,2.301503961
"CD158e1-TotalA","CD158e1-TotalA",0.028298974,0.105257716,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,2.370416945
"CD86-TotalA","CD86-TotalA",0.039127741,0.127030762,"Mouse-IgG2b-isotype-TotalA",0.01549256,0.077963823,2.420538872
"CD94-TotalA","CD94-TotalA",0.029098162,0.107923602,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,2.424626239
"CD169-TotalA","CD169-TotalA",0.030035579,0.109960739,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,2.504374934
"CD335-TotalA","CD335-TotalA",0.03001553,0.105215556,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,2.587762495
"HuCD103-TotalA","HuCD103-TotalA",0.064659578,0.302244047,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,2.732505151
"Hu-CD314-TotalA","Hu-CD314-TotalA",0.040073805,0.153931627,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,2.825945815
"TCRVa7.2-TotalA","TCRVa7.2-TotalA",0.04446392,0.174732905,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,2.889688802
"CD14-TotalA","CD14-TotalA",0.030011556,0.11440456,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,2.911275534
"CD85j-TotalA","CD85j-TotalA",0.051026137,0.148394501,"Mouse-IgG2b-isotype-TotalA",0.01549256,0.077963823,3.235707499
"Iglightchainl-TotalA","Iglightchainl-TotalA",0.036439725,0.133023697,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,3.247959022
"CD41-TotalA","CD41-TotalA",0.042791554,0.141762812,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,3.302979859
"CD142-TotalA","CD142-TotalA",0.042401095,0.129266662,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,3.526407813
"Iglightchaink-TotalA","Iglightchaink-TotalA",0.04318427,0.13148859,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,3.559857443
"CD185-TotalA","CD185-TotalA",0.048178696,0.151820683,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,3.618430535
"CD115-TotalA","CD115-TotalA",0.020364812,0.085420549,"RatIgG1-TotalA",0,0,3.639116855
"CD69-TotalA","CD69-TotalA",0.055000443,0.178347286,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,3.692285669
"NKp80-TotalA","NKp80-TotalA",0.044511107,0.131763995,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,3.693706718
"CD303-TotalA","CD303-TotalA",0.038951982,0.118856602,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,3.881307454
"CD112-TotalA","CD112-TotalA",0.048781122,0.140623871,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,3.924173498
"CD61-TotalA","CD61-TotalA",0.052859138,0.157560336,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,3.927472879
"CD152-TotalA","CD152-TotalA",0.041605613,0.126870584,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,3.966507573
"IgM-TotalA","IgM-TotalA",0.052112184,0.145488161,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,4.135492747
"CD30-TotalA","CD30-TotalA",0.04526663,0.134682336,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,4.153948391
"GPR56-TotalA","GPR56-TotalA",0.138004676,0.432906788,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,4.488307173
"CD93-TotalA","CD93-TotalA",0.055675065,0.141131777,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,4.598972114
"CD146-TotalA","CD146-TotalA",0.081140987,0.227711083,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,4.644898633
"CD79b-TotalA","CD79b-TotalA",0.060851227,0.151989339,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,4.799647211
"CD31-TotalA","CD31-TotalA",0.080549925,0.19899132,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,5.219788429
"CD244-TotalA","CD244-TotalA",0.092157366,0.232159786,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,5.262979505
"CD35-TotalA","CD35-TotalA",0.144035394,0.380837575,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,5.326930304
"ITGB7-TotalA","ITGB7-TotalA",0.188060172,0.372450785,"RatIgG2a-TotalA",0.043766242,0.133002898,5.569223595
"CD57-Recombinant-TotalA","CD57-Recombinant-TotalA",0.269922759,0.65935676,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,6.004113675
"LOX-1-TotalA","LOX-1-TotalA",0.083093773,0.182911039,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,6.193729045
"CD154-TotalA","CD154-TotalA",0.086723005,0.179375721,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,6.234743982
"CD319-TotalA","CD319-TotalA",0.106947475,0.207174601,"Mouse-IgG2b-isotype-TotalA",0.01549256,0.077963823,6.306500294
"CD223-TotalA","CD223-TotalA",0.083940902,0.166042012,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,6.439368225
"CD8-TotalA","CD8-TotalA",0.096949346,0.19229722,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,6.629082786
"CD163-TotalA","CD163-TotalA",0.100506764,0.198501115,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,6.701299528
"CD49b-TotalA","CD49b-TotalA",0.124919992,0.252422977,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,6.791839734
"CD24-TotalA","CD24-TotalA",0.088216799,0.176384057,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,6.834644476
"CD45RA-TotalA","CD45RA-TotalA",0.117825516,0.209783255,"Mouse-IgG2b-isotype-TotalA",0.01549256,0.077963823,6.979581149
"CD88-TotalA","CD88-TotalA",0.095992864,0.18943519,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,7.000716393
"CD37-TotalA","CD37-TotalA",0.112317977,0.207313534,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,7.274405763
"CD107a-TotalA","CD107a-TotalA",0.135486701,0.251912451,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,7.427914595
"CD272-TotalA","CD272-TotalA",0.105381067,0.196101457,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,7.486092977
"CD274-TotalA","CD274-TotalA",0.135333653,0.210689589,"Mouse-IgG2b-isotype-TotalA",0.01549256,0.077963823,8.142798622
"CD141-TotalA","CD141-TotalA",0.135719677,0.227008005,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,8.207757883
"CD63-TotalA","CD63-TotalA",0.141947267,0.237238562,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,8.263903896
"CD49a-TotalA","CD49a-TotalA",0.205903813,0.342977625,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,8.611248362
"CD25-TotalA","CD25-TotalA",0.153322687,0.232106227,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,9.159967784
"CD83-TotalA","CD83-TotalA",0.164396609,0.247839292,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,9.274449672
"IgE-TotalA","IgE-TotalA",0.154271388,0.229577908,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,9.315545834
"CD73-TotalA","CD73-TotalA",0.176889304,0.254319119,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,9.78062153
"TIGIT-TotalA","TIGIT-TotalA",0.176115627,0.259039063,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,9.835241808
"CD39-TotalA","CD39-TotalA",0.237862882,0.348181537,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,9.867205853
"CD71-TotalA","CD71-TotalA",0.360649305,0.540221676,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,9.971906444
"CD305-TotalA","CD305-TotalA",0.24083377,0.343377155,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,10.13136154
"KLRG1-TotalA","KLRG1-TotalA",0.415159478,0.609540428,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,10.20621493
"CD9-TotalA","CD9-TotalA",0.242273866,0.338297885,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,10.34291091
"CD62L-TotalA","CD62L-TotalA",0.202159116,0.277842032,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,10.34802647
"CD151-TotalA","CD151-TotalA",0.22528157,0.3103755,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,10.42089781
"CD122-TotalA","CD122-TotalA",0.218379721,0.294998594,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,10.59321313
"CD119-TotalA","CD119-TotalA",0.229768094,0.298640207,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,11.03983845
"CD101-TotalA","CD101-TotalA",0.486414108,0.636233435,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,11.39177065
"CD270-TotalA","CD270-TotalA",0.231172898,0.285148762,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,11.6143469
"CD192-TotalA","CD192-TotalA",0.236153508,0.294131909,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,11.76915148
"CD200-TotalA","CD200-TotalA",0.287587056,0.349926059,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,11.95759751
"CX3CR1-TotalA","CX3CR1-TotalA",0.243686509,0.292000317,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,11.99378087
"CD54-TotalA","CD54-TotalA",0.262290596,0.305439924,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,12.39836251
"CD161-TotalA","CD161-TotalA",0.528076679,0.610786692,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,12.89824864
"CD23-TotalA","CD23-TotalA",0.286300022,0.315997734,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,13.13826169
"CD134-TotalA","CD134-TotalA",0.298404906,0.319694404,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,13.5596422
"CD275-TotalA","CD275-TotalA",0.307339789,0.31879268,"Mouse-IgG2b-isotype-TotalA",0.01549256,0.077963823,13.57410822
"CD38-TotalA","CD38-TotalA",0.823111164,0.84684748,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,14.62881315
"CD195-TotalA","CD195-TotalA",0.491415886,0.500330011,"Rat-IgG2b-isotype-TotalA",0.007268923,0.055728211,14.67983692
"HLA-DR-DP-DQ-TotalA","HLA-DR-DP-DQ-TotalA",0.846349868,0.839359561,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,15.25121192
"CD74-TotalA","CD74-TotalA",0.337738161,0.316084258,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,15.5757339
"CD84-TotalA","CD84-TotalA",0.370327889,0.348771843,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,15.77985767
"CD196-TotalA","CD196-TotalA",0.553878151,0.484682381,"Mouse-IgG2b-isotype-TotalA",0.01549256,0.077963823,16.74044665
"CD7-TotalA","CD7-TotalA",0.724057343,0.618951887,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,17.64667168
"HLA-DR-TotalA","HLA-DR-TotalA",1.097167779,0.851567206,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,19.52194347
"CD194-TotalA","CD194-TotalA",0.517188849,0.377878246,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,20.25666858
"CD226-TotalA","CD226-TotalA",0.553701594,0.38694107,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,21.21692807
"CD49f-TotalA","CD49f-TotalA",1.192896157,0.786376629,"RatIgG2a-TotalA",0.043766242,0.133002898,21.99337668
"CD183-TotalA","CD183-TotalA",1.000185988,0.680081623,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,22.15050492
"CD52-TotalA","CD52-TotalA",0.537904154,0.361200784,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,22.26557816
"CD278-TotalA","CD278-TotalA",0.959668458,0.619759834,"ArmenianHamsterIgG-TotalA",0.009729239,0.0603787,23.28622478
"CD18-TotalA","CD18-TotalA",0.729429295,0.46189271,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,23.59539776
"TCRab-TotalA","TCRab-TotalA",0.559168562,0.349521237,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,23.66248229
"CD27-TotalA","CD27-TotalA",0.969306953,0.605376586,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,24.0842219
"CD279-TotalA","CD279-TotalA",0.765393398,0.45377278,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,25.20996943
"CD49d-TotalA","CD49d-TotalA",1.283156684,0.755912786,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,25.63932666
"CD55-TotalA","CD55-TotalA",1.027405326,0.596051136,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,25.9377684
"CD58-TotalA","CD58-TotalA",1.097352318,0.510621908,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,32.29979842
"CD82-TotalA","CD82-TotalA",0.950172377,0.418491949,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,33.96684026
"CD29-TotalA","CD29-TotalA",1.610161138,0.701334055,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,34.71233406
"CD28-TotalA","CD28-TotalA",0.972554435,0.41055011,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,35.43396265
"CD127-TotalA","CD127-TotalA",0.990805566,0.415501914,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,35.6839414
"CD150-TotalA","CD150-TotalA",1.117794701,0.449633345,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,37.29757005
"CD43-TotalA","CD43-TotalA",1.065279456,0.419002353,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,38.07778248
"CD95-TotalA","CD95-TotalA",1.175776639,0.459301544,"Rat-IgG2b-isotype-TotalA",0.007268923,0.055728211,38.55122575
"CD162-TotalA","CD162-TotalA",1.625107919,0.610993872,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,40.17108376
"CD352-TotalA","CD352-TotalA",1.352897356,0.506386434,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,40.21641724
"CD81-TotalA","CD81-TotalA",1.736993072,0.62638437,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,41.90729056
"CD197-TotalA","CD197-TotalA",1.32581402,0.446693571,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,44.82689232
"HLA-A-B-C-TotalA","HLA-A-B-C-TotalA",1.89587268,0.62744444,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,45.83236811
"CD44-TotalA","CD44-TotalA",1.586031113,0.514661886,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,46.44691118
"CD3-TotalA","CD3-TotalA",1.962543624,0.595922508,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,49.77737805
"CD5-TotalA","CD5-TotalA",2.216219432,0.66205054,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,50.67286938
"CD4-TotalA","CD4-TotalA",2.066243465,0.533530318,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,58.47875742
"CD2-TotalA","CD2-TotalA",2.135974824,0.515000049,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,62.60856778
"CD48-TotalA","CD48-TotalA",2.219715516,0.532727736,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,62.93590585
"CD47-TotalA","CD47-TotalA",2.195575158,0.519394766,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,63.82588382
"CD99-TotalA","CD99-TotalA",1.848480404,0.432605559,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,64.59650501
"CD11a-TotalA","CD11a-TotalA",2.407418462,0.535498289,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,67.93184592
"CD26-TotalA","CD26-TotalA",1.982683706,0.4395977,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,68.21343774
"CD45-TotalA","CD45-TotalA",2.570299331,0.516545055,"Mouse-IgG1-isotype-TotalA",0.009510039,0.059663983,75.17365393
"CD45RO-TotalA","CD45RO-TotalA",1.996313478,0.389942309,"Mouse-IgG2a-isotype-TotalA",0.006317008,0.048434168,77.30460959
